Comment,Description,Designator,Footprint,LibRef,Quantity

"0.1uF","无极性电容, Capacitor","C1, C5, C12, C16, C24, C29, C31, C37, C39, C41, C42, C46, C47, C61, C64, C67, C71, C77, C79, C82, C84, C99, C100, C104, C105, C109, C110, C114, C115","C0402","CAPACITOR, CAP","29"
"47pF","无极性电容, Capacitor","C2, C3, C75","C0402","CAPACITOR, CAP","3"
"470pF","无极性电容","C4","C0603","CAPACITOR","1"
"12pF","Capacitor","C6, C7, C25, C26","C0402","CAP","4"
"10uF","Capacitor","C8","C0805","CAP","1"
"1uF","Capacitor","C9, C66","C0603","CAP","2"
"0.22uF","Capacitor","C10, C13, C14, C17, C19, C20, C21, C22, C23, C33, C43, C44, C101, C102, C106, C107, C111, C112","C0402","CAP","18"
"4.7uF","Capacitor","C11, C18, C69","C0603","CAP","3"
"1nF","Capacitor","C15, C28, C30, C32, C34, C36, C38, C40, C45, C103, C108, C113","C0402","CAP","12"
"2.2uF","Capacitor","C27, C35, C89, C90","C0603","CAP","4"
"470uF/50V","Capacitor","C48","RAD0.6/5.0","CAPACITOR POL-1210","1"
"220uF/50V","Capacitor","C49","RAD0.6/5.0","CAPACITOR POL-1210","1"
"100uF/50V","Capacitor","C50","RAD0.6/3.5","CAPACITOR POL-1210","1"
"10uF","Capacitor","C51, C60, C62, C63","C0603","CAP","4"
"68nF","Capacitor","C52","C0603","CAP","1"
"220pF","Capacitor","C53","C0603","CAP","1"
"10nF","Capacitor","C54, C59","C0603","CAP","2"
"2.2uF/100V","Capacitor","C55, C57, C73, C74","C1210","CAP","4"
"100pF","Capacitor","C56","C0603","CAP","1"
"1nF/100V","Capacitor","C58","C0805","CAP","1"
"22pF","Capacitor","C65","C0603","CAP","1"
"TAN_100uF/10V","Capacitor","C68, C80, C83, C86","C1210+","CAPACITOR POL-1210","4"
"0.1uF","Capacitor","C70","C0603","CAP","1"
"1uF","Capacitor","C72","C0402","CAP","1"
"4.7nF","Capacitor","C76","C0402","CAP","1"
"TAN_10uF/10V","Capacitor","C78, C81, C85","C1206+","CAPACITOR POL-1206","3"
"10nF/1KV","Capacitor","C116, C117","C1210","CAP","2"
"NUP2105LT1G","静电芯片-总线用","D1, D2","SOT-23-3","NUP2105LT1G","2"
"1N4007","二极管","D3, D4, D19, D20, D24, D25, D29, D30, D40, D41","SOD-123","DIODE","10"
"SMF11CA","1SMA28AT3","D5, D21, D26, D31","SOD-123","Schottky Diode","4"
"BAV99","TVS, Connector","D6, D7, D10, D16, D22, D23, D27, D28, D32, D33","SOT-23-3","BAT54S","10"
"FR107","二极管","D8, D11, D12, D18","SOD-123","DIODE","4"
"BZX84-C4V7","Schottky Diode","D9","SOT-23-3","BZX84","1"
"1N5408","二极管","D13","SMC","DIODE","1"
"1N4742_12V","Schottky Diode","D14","D1810+","DIODE SCHOTTKY","1"
"BZX84-C30","Schottky Diode","D15","SOT-23-3","BZX84","1"
"1N5822","Schottky Diode","D34, D35, D39","D1810+","DIODE SCHOTTKY","3"
"SMF30CA","1SMA28AT3","D42","SOD-123","Schottky Diode","1"
"TP","","J1, J2, J3, J4, J5, J6, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J40, J41, J42, J43, J44, J45, J46, J47, J48, J49, J50, J74, J75, J76, J77, J78, J79, J80, J81, J82, J83, J86, J87, J88, J89, J90, J91, J92, J93, J94, J95, J96, J98, J99, J100, J103, J104, J105, J107, J108, J109, J110, J111, J112, J113, J114, J116, J117, J120, J121, J122, J123, J124, J125, J126, J127, J129, J130, J131, J132, J133, J134, J135, J136, J137, J138, J140, J141, J142, J145, J146, J147, J149, J150, J151, J152, J153, J154, J155, J156, J158, J159, J160, J161, J162, J163, J164, J165, J166, J167, J168, J169, J171, J172, J173, J177, J178, J179, J180, J181, J182, J183, J184, J185, J186, J187, J189, J190, J191, J192, J193, J194, J195, J196, J197, J198, J199, J200, J202, J203, J204, J208, J209, J210, J211, J212, J213, J214, J215, J216, J217, J218, J220, J221, J224, J225, J226, J228, J230","TEST_1.2","TP","176"
"CON23","Connector","J7","ASH-23","CON23","1"
"CON3","","J25","SIP3","CON3","1"
"PZ127VS-12-10-H10-A38","Connector","J222","SMD_10P-1.27","CON10","1"
"MCW-0650-470-N2","","L1","6D38","INDUCTOR1","1"
"CHOK4525S142A10T","共模电感-总线用","L2","4525","CHOK4525S142A10T","1"
"BLM18HE152SN","","L3, L4, L5","L0603","INDUCTOR","3"
"ACM1211-102-2PL-TP01","","L6","4844","BOK","1"
"DR74-100/100uH/0.65A","","L7","6D38","INDUCTOR1","1"
"SCI3D28-10uH","","L8","3D28","INDUCTOR","1"
"RED","","LD1, LD2","L0805+","LED-MINE","2"
"2N5551","BC846BW","Q1, Q2, Q7, Q11, Q12, Q15, Q16, Q19, Q20, Q25","SOT-23-3","NPN-2","10"
"YJL03N06A","N-Channel Power MOSFET","Q3, Q4, Q13, Q14, Q17, Q18, Q21, Q22, Q26, Q27, Q28, Q29","SOT-23-3","NMOS-2","12"
"WST06P06","","Q6","SOT-23-3","MOSFET P","1"
"HYG350P13NA1B","","Q8","TO263-3","MOSFET P","1"
"PBHV8115T","","Q9","SOT-23-3","NPN-2","1"
"FJV1845FMTF","","Q10","SOT-23-3","NPN-2","1"
"BSS84","","Q24","SOT-23-3","MOSFET P","1"
"4.7K","电阻, 1K, [NoValue]","R1, R10, R41, R73, R76, R99, R122, R147","R0402","RESISTOR, RES2MINI","8"
"100","10K","R2, R22, R24, R84, R88, R90, R111, R113, R131, R134, R136, R152","R0402","RES2MINI","12"
"60.4","电阻","R4, R5","R1210","RESISTOR","2"
"10K_1%","[NoValue], 1K, 10K, 电阻","R6, R13, R16, R17, R20, R21, R23, R25, R26, R27, R29, R31, R37, R49, R56, R65, R74, R79, R82, R83, R86, R87, R89, R91, R92, R93, R95, R97, R102, R105, R106, R109, R110, R112, R114, R115, R116, R118, R120, R125, R128, R129, R132, R133, R135, R137, R138, R139, R141, R143, R149","R0402","RES2MINI, RESISTOR","51"
"1K/NC","","R7","R0603","RES2MINI","1"
"1M","","R8","C0402","RES2MINI","1"
"0","","R9","R0402","RES2MINI","1"
"2K_1%","10K, [NoValue]","R11, R66, R77, R100, R123","R0402","RES2MINI","5"
"1K","1K","R12, R78, R101, R124","R0402","RES2MINI","4"
"4.3K","10K","R14, R80, R103, R126","R0402","RES2MINI","4"
"80.6_0.1%","3k","R15, R81, R104, R127","R0805","RES2MINI","4"
"10K","10K","R18, R19, R70, R85, R107, R130, R150, R153","R0402","RES2MINI","8"
"47Ω_0.1%","3k","R28, R94, R117, R140","R1206","RES2MINI","4"
"20K","10K, 电阻, 1K","R30, R35, R75, R96, R119, R142","R0402","RES2MINI, RESISTOR","6"
"47K_1%","10K, 1K, [NoValue]","R32, R42, R57, R98, R121, R144, R148","R0402","RES2MINI","7"
"10K_1%","1K, 电阻, [NoValue]","R36, R40, R45, R46","R0603","RES2MINI, RESISTOR","4"
"47K_1%","1K, [NoValue]","R38, R43, R44, R61","R0603","RES2MINI","4"
"20K","1K","R39","R0603","RES2MINI","1"
"100K","","R47","R0603","RES2MINI","1"
"0","10K, [NoValue]","R48, R50, R63, R64, R67","R0603","RES2MINI","5"
"1.02K_1%","10K","R52","R0402","RES2MINI","1"
"1K","10K","R53","R1206","RES2MINI","1"
"1M","","R54, R146","R0805","RES2MINI","2"
"5.1_1%","","R55","R0402","RES2MINI","1"
"237K_1%","","R58","R0603","RES2MINI","1"
"16.9K","","R59","R0402","RES2MINI","1"
"6.65K_1%","","R60","R0402","RES2MINI","1"
"820K_1%","","R62","R0402","RES2MINI","1"
"200Ω_0.1%","3k","R68, R108, R151, R154","R1206","RES2MINI","4"
"0/NC","电阻","R71","R0402","RESISTOR","1"
"4.7K_1%","","R72","R0402","RES2MINI","1"
"BLM41PG750SN1L","","RL1","L1806","INDDC","1"
"3314J-1-102E","","RV1, RV2, RV3, RV4","RES-ADJ-SMD_3P-L4.5-W4.5-P2.30","3296W-1-102","4"
"SN65HVD233D/TJA1152BT","CAN通讯芯片 3.3V","U1","SO-8","SN65HVD230D","1"
"S32K344EHT1VMMST","","U2","LFBGA257","P32K344EHT0VMMST-REV.N","1"
"LM224PT","","U3, U6, U7, U8","TSSOP-14","LM224","4"
"SGM3207YN5G/TR","","U4","SOT-23-5","SGM3207YN5G/TR","1"
"SGM6601YTN5G/TR","","U5","SOT-23-5","SGM6601YTN5G/TR","1"
"TPS54560-Q1","","U9","SOIC-8","TPS54560DGQR","1"
"LM4041DFTA","","U10","SOT-23-3","LM4041C12IDBZR","1"
"SPX3819M5-L-5-0/TR","","U11","SOT-23-5","SPX3819M5-L-5-0/TR","1"
"SPX3819M5-L-3.3","","U12","SOT-23-5","SP6201","1"
"SGM2212-ADJ","","U14","TDFN_8L","SGM2212","1"
"32.768KHz","Crystal_32","Y1","DST310","CRYSTAL_32","1"
"16MHz","Crystal","Y2","SMD5032","CRYSTAL","1"
